player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url
137745,543,marcal,Marcal,Brazil,Brazil,1989-02-19,Defender,Left-Back,Left,178,https://www.transfermarkt.co.uk/marcal/profil/spieler/137745
485583,543,ki-jana-hoever,Ki Jana Hoever,Netherlands,Netherlands,2002-01-18,Defender,Right-Back,Right,183,https://www.transfermarkt.co.uk/ki-jana-hoever/profil/spieler/485583
511815,543,owen-otasowie,Owen Otasowie,United States,United States,2001-01-06,Midfield,Defensive Midfield,Right,191,https://www.transfermarkt.co.uk/owen-otasowie/profil/spieler/511815
142310,543,willy-boly,Willy Boly,France,Cote d'Ivoire,1991-02-03,Defender,Centre-Back,Right,195,https://www.transfermarkt.co.uk/willy-boly/profil/spieler/142310
45026,543,rui-patricio,Rui Patricio,Regueira de Pontes,Portugal,1988-02-15,Goalkeeper,,Left,190,https://www.transfermarkt.co.uk/rui-patricio/profil/spieler/45026
505653,543,fabio-silva,Fabio Silva,Portugal,Portugal,2002-07-19,Attack,Centre-Forward,Right,185,https://www.transfermarkt.co.uk/fabio-silva/profil/spieler/505653
204198,543,romain-saiss,Romain Saiss,France,Morocco,1990-03-26,Defender,Centre-Back,Left,188,https://www.transfermarkt.co.uk/romain-saiss/profil/spieler/204198
168157,543,leander-dendoncker,Leander Dendoncker,Belgium,Belgium,1995-04-15,Midfield,Defensive Midfield,Right,188,https://www.transfermarkt.co.uk/leander-dendoncker/profil/spieler/168157
225161,543,ruben-neves,Ruben Neves,Portugal,Portugal,1997-03-13,Midfield,Defensive Midfield,Right,180,https://www.transfermarkt.co.uk/ruben-neves/profil/spieler/225161
231572,543,nelson-semedo,Nelson Semedo,Portugal,Portugal,1993-11-16,Defender,Right-Back,Right,177,https://www.transfermarkt.co.uk/nelson-semedo/profil/spieler/231572
